placeId,title,tags,description
73,Tender Bar,bar|point_of_interest|establishment, Tender is the absolute after of B.P. The doors open at 11 and something in the room is dressed in low light and a neon sign begs "What happened last night?". From the smiling girls at the reception to the cheerful bartenders who juggle the bottles with mastery that David Copperfield would envy and the most beautiful faces of Athens to the unforgettable themed parties that have become an institution  Tender is exactly what you need to decompress from everyday life and recharge your batteries. 
74,Zoo,night_club|bar|point_of_interest|establishment, music scene that respects the musicians and its guests Very good sound  smokeless environment with good service and affordable prices.coffee & friends  music & entertainment  street & culture
75,Rainbow Metal Club,bar|point_of_interest|establishment, RAINBOW METAL CLUB Rainbow Metal Club @ Gazi - The only metal club in Athens
76,PETROpolislive,bar|point_of_interest|establishment, Freshwater Fish  Saltwater Fish  Coral  Invertebrates  Reptiles  Small Animals Feeders -  Rare Species!  We Specialize in all species from around the world.  Direct Imports and quality disease free livestock! 
77,You & Me,bar|point_of_interest|store|establishment 
78,Corner Cafe,cafe|meal_takeaway|bar|restaurant|food|point_of_interest|store|establishment 
79,Framed Salon Damaskinos George,night_club|furniture_store|home_goods_store|bar|point_of_interest|store|establishment, The handicraft manufacturing of LIVING FRAMES of GIORGOS DAMASKINOS is a company that has a tradition in the field of furniture since it has been active in the manufacture of living room frames for many years. From 2019  in the same facilities  George Damaskinos  son of Lefteris Damaskinos  started his special activity in the field of salon construction. With about 40 years of experience and an appetite for continuous development  the company can offer unparalleled quality and services to professional upholsterers and furniture manufacturing and sales stores. Contact us and we will try to meet any need of your business. 
80,MORIARTY,bar|point_of_interest|establishment, Moriarty is atmospheric  loves the British indie music scene and serves premium whiskey labels overlooking a church of Greek-Byzantine architecture.
81,KingSize Beer House,bar|restaurant|food|point_of_interest|establishment,Kingsize Beer House is the brewery that has become the most tasteful spot in New Philadelphia with 75 beer labels and great food. In the central square of New Philadelphia on the pedestrian street  you will find a warm friendly place with carefully selected beers from around the world and delicious options that accompany them uniquely. The style and atmosphere of the brewery is reminiscent of an English pub  with stone  wood and leather seats dominating the space. The menu includes beers and appetizers for all the demanding palates of beer. You can try from chicken fillets with dark beer  classic klap sandwiches  to country potatoes and everything that interests you from the wide gastronomic menu. Kingsize Beer House is open from morning with coffee and snacks until late at night with cocktails  beer and food.
82,The Party Bar,bar|point_of_interest|establishment, With a name inspired by the film of the same name of 1968  The Party Bar is a special entertainment option in night Athens and specifically in the area of ​​Psyrri. Both on Fridays and Saturdays with active DJ's to offer unique moments in 80's  90's and rock and roll rhythms  as well as on Wednesdays with live jazz jam sessions but also the rest of the week with soul  blues  rock and latin sounds  The Party manages to follow in an ideal way its well-known style until today and to offer rare musical journeys to its visitor! We are waiting for you to get to know this wonderful place  to dance until the early morning hours drinking cold beer  cool cocktails  wine and drinks from our very special wine cellar  and of course to have a great time allowing us to take care of your fun !! We are waiting for you at our Party!
83,Nargilés,cafe|bar|liquor_store|restaurant|food|point_of_interest|store|establishment, Hookah is a unique coffee shop near Burnazi Square  with a history dating back to 2001 where it serves coffee  drinks and selected delicacies. Accompanied by listening to Greek rock  art and rebetiko music  it offers an unforgettable entertainment experience.
84,Chocolat Royal,restaurant|cafe|bar|food|point_of_interest|store|establishment, Chocolat Royal  the ideal all-day option and a magnificent place for coffee  food or drinks! Situated in picture perfect Thisseio in Athens  Chocolat Royal is a beautiful four storey neoclassic building that offers a superb view from Acropolis to Mount Lycabettus. It is open every day and will surely meet all your expectations
85,Perfetta pizza trattoria,bar|restaurant|food|point_of_interest|establishment, Unique and special flavors that you should try now in a renewed space in the most beautiful and green square of Korydallos. Since 1997  we provide excellent and high quality catering services  home delivery and catering  offering something special in pizza  burgers  pasta  club sandwich  grilled  grill but also in special dishes gourmet  risotto  a variety of appetizers  such as and crepes  waffles and sweet pizzas. This tradition continues with pizzas from freshly kneaded dough that is prepared daily and is wonderfully combined with genuine cold cuts (not snack type) gouda cheese and mozarela (and not cheese substitutes) and our special secret sauce. But in the rest of our dishes we guarantee the use of fresh products  cooked with the best from the domestic market  so that you can be sure that what you eat does not stain your health and your pocket
86,Akrotiri,bar|restaurant|food|point_of_interest|establishment, While enjoying a drink or snack  you have the perfect view of beautiful beaches and the Diapontia Islands spanning the coastline. The vista from the roof terrace is truly stunning and is sure to take your breath away. Take a break from your walk or just stop to enjoy the scenery while choosing from a wide array of delicious coffees  freshly made baguettes and sandwiches  superb ice-creams and cakes. The café is well worth a visit  especially at sunset  when the horizon casts pastel shades of myriad colours  across the shimmering Ionian Sea  as you sit back and relax with a cocktail and watch nature’s lightshow at its finest. If you would like to see some of the beautiful views the Akrotiri has to offer then take a look at our photography page.
87,ΣΥΝ ΑΘΗΝΑ - SIN ATHINA,restaurant|cafe|bar|food|point_of_interest|store|establishment, Three-storey neoclassical building under the supervision of the Parthenon  early in the morning with tables outside  summer terrace overlooking the sacred rock  coffee  drinks  Mediterranean cuisine  varieties  crepes  pastries  fresh ice cream and crazy spree with unique nights by G.Sag every Friday and Saturday night on the first floor. The right place to organize any event (wedding  christening)  to invite friends  acquaintances  family  colleagues  old classmates  for birthdays  parties  meetings  reunions  for true memories. With the best service and the best prices.
88,Music Darts Club EGALITE,bar|restaurant|food|point_of_interest|establishment, It was October 1984 when George Karamousas returns to Greece equipped with the image and experience of French culture that always moved him and he had the opportunity to live in practice lately. He was always convinced that Greek culture could coexist with that of French expression and perception of life and the world. There was only one decision left  and the experiment would give the answer! So in October 1984 Egalite was born in a popular neighborhood in New Philadelphia! Nothing was accidental  neither the name nor the neighborhood  but nothing was stubbornly pursued and commercial expediency  everything was chosen as if it had to be done! of his being  because in fact he is very talented and for the reason that the real frames  sketches and paintings that adorn the space  are his own creations! But let us not omit his music education! Although she did not act as a musician  she is distinguished as a lover and collector of good music and never negotiated quality for the sake of commercialism… It is worth noting here that in her space often appear selected musicians and artists of different nationalities where they present their art  entertaining them Of course  we do not forget the darts innovation that was established in Egalite as a sport for the promotion of culture and noble rivalry  with a large participation of teams and top athletes of the genre. Today  35 years later  Egalite  passing through cyclops and concubines where the cogs of the bureaucracy forced it to migrate several times  succeeded and continues to exist thanks to the vision and the philosophy of its creator! in another neighborhood in another address  but with the same goal and many people to follow it…
89,TAR beer restaurant,bar|restaurant|food|point_of_interest|establishment, The first brewery in Greece takes its name from the Persian stringed instrument "TAR" which means string. in GREECE. Large palette of tasting for beer lovers  with a warm atmosphere of an old family house and always with art-loving trends. From the first moment it becomes the hangout for the beer lovers to enjoy an enjoyable trip to the special world of the secrets of its taste. We are waiting for you.
90,ALTO Food Bar Café,cafe|bar|food|point_of_interest|establishment,
91,Poquito Cafe-Bar,cafe|food|point_of_interest|establishment, Unpretentious  friendly and modern  Poquito is a philosophical all day cafe-bar on Ymittos in Pagrati. Unpretentious because it no longer follows the "worn" trends of industrial design and philosophical because it has a very strong paper: value for money drinks & cocktails in a casual  warm environment that you will love. In a relaxed space  reminiscent of an island or European bar In the morning  you can enjoy your coffee in the morning on its comfortable velvet stools or on the tables outside  while also making a snack for passers-by. But where Poquito excels is in the evenings. With fantastic cocktails in δό generous doses and at a price of 6.5 euros you will enjoy a drink without stopping at the ATM. We singled out his jug at 1.5l at 11 euros - the "catalyst" for an unforgettable night with your friends!
92,Στούντιο Καφέ,cafe|food|point_of_interest|establishment,
94,Balux Cafe | The House Project,cafe|food|point_of_interest|establishment, A place of unique beauty and aesthetics  designed to meet all your needs  The House Project- Balux Cafe is the ideal destination for excursions in South Athens. the opportunity to enjoy the view unobstructed. Each room has a different setup so you can enjoy it throughout the day  from morning to night. You can choose our living room and relax on our comfortable sofas or go through the library area and forget with the huge collection of books you will find available. Computers and free wi-fi can accommodate you and your partners at our x office for your next meeting. If you have an appetite for gaming  you and your company can choose from a wide range of board games  a game of billiards or still enjoy your favorite series in the playroom of House Project. Are you hungry? Try in the dining room fine dishes from the menu of Mediterranean cuisine  traditional Italian pizza made in a wood oven or enjoy our sushi menu. If you are a parent do not hesitate to visit our house  as we have taken care to entertain your children at the same time. The place includes a large playground  where your children can be busy and have fun  while you enjoy your hot chocolate with your friends or family. The kids will love it! And after such a busy day  what better way than to enjoy your drink or cocktail  listening to your favorite music. We are waiting for you every day from 9 in the morning until 3 at night  to you make you feel at home!
95,European Village,cafe|food|point_of_interest|store|establishment,
96,Coffee Island Αθηνών,cafe|food|point_of_interest|store|establishment, In 1999 in Patras it all started with the love for quality (specialty) coffee. In 2009  with the strengthening of the team  we envisioned something completely fresh  innovative and original; the creation of a new experience for quality coffee in hand. From 1999 until today  the magical journey in the world of coffee offers us special surprises. All these years the goals  the plan and the strategy have changed  but our vision and values ​​remain unchanged. We travel  Explore  Discover  Subvert  Innovate  Evolve  Serve so that the Consumer enjoys a unique Experience. Our daily promise is
97,BLACK DOG cafe,cafe|food|point_of_interest|establishment, Serving a full breakfast and lunch menu  plus specialty coffees  cakes  pastries  and more! We’re located up-island just one mile west of Vineyard Haven center – you can’t miss the vintage 1914 rail car in front of the café!Visit our island bakery  where the walls are lined with our artisan bread stacked in wooden racks and our bakery case is filled with an assortment of tasty sweet and savory treats. Early risers can start the day with our fresh-baked muffins  Woofer egg sandwich  or a bowl of our homemade granola with fresh fruit and yogurt. All paired with a cup of our locally roasted fair-trade  organic coffee. Our Café also specializes in fresh sandwiches  including lobster rolls  the turkey club  classic BLT  and more  all made on our delicious Black Dog bread. If you’re seeking lighter fare  check out our variety of salad options. Traveling up island or spending a day picnicking on the beach? Grab a few sandwiches (and maybe even a world-renowned Black Dog cookie or two!)  and you’re set for the perfect lunch on the go.No trip to the island would be complete without sampling our famous  homemade-from-scratch pastries  desserts  cookies  and pies. Indulge in our decadent Mousse Bomb  Blackout Cake  Lemon Squares  and more. Our Pastry Chefs have been known to surprise us with their daily dessert specials so a trip to the bakery case is always a treat. 
98,Enzzo De Cuba,cafe|restaurant|food|point_of_interest|establishment, ENZZO CLUB could be characterized as an all time classic  since since 1997 it has been a constant meeting point of clubbers in West Attica and beyond. Live atmosphere  explosive cocktails and mood that stays in the "red" all night until the early morning hours. A special place hosts you from early in the morning for espresso and Greek coffee on embers  in the afternoon for sweets and snacks  and until late night out for fun.ENZZO DE CUBAHave you ever imagined that a trip to exotic Cuba could take as little as an evening stroll in Burnazi? This is exactly the case with Enzzo de Cuba. The Enzzo de Cuba is a place of ideology. Havana Vieja  the historical center of the Cuban capital  a country with special people and a unique culture  was a source of inspiration. The palm trees rising in the center of the cobbled square  the mojito metropolis  La Bodeguida del Medio and the Partagas cigar factory are some of the scenes of Enzzo de Cuba that will evoke sweet memories for those who have traveled to Cuba but also an unexpected one. to those who have not been to know it. ENZZO UPSTAIRSEnzzo Upstairs  a space with strong decorative elements in white and wenge colors  is more like a lobby of a luxury hotel than a coffee bar. An area ideal for a relaxing drink or a special cocktail  without time restrictions  allows the visitor to enjoy the starry sky on summer nights and the view of the whole square in winter.
99,Linard Ltd,cafe|food|point_of_interest|establishment, Our mission is to import superior quality instant coffee through intensive research and search  to create and then to offer in the Greek and global market unique delicious coffee profiles  thanks to the know-how and the long experience of the company in the field of production.   seeking to exceed customer expectations
100,Delish Bakeshop,bakery|cafe|food|point_of_interest|store|establishment, In Kolonaki you will find the Delish Bakeshop  where cupcakes  coffee  pastries  cakes and puff pastry are waiting for you at the best prices. On the right you can see our menu!
101,Attalos,cafe|food|point_of_interest|establishment, Cafe - Bar - Restaurant Wedding Halls Baptism Social events Kids party
102,Niki Apollonion S.A.,cafe|food|point_of_interest|establishment, After enjoying Hellenic Parliament  go to this cafe that is not far away. Greek cuisine is what Niki Apollonion S. A. boasts. It's nice to order great coffee. Guests do not highly appreciate sandwiches at this place.It's always a pleasure to rest and have a meal here because of the spectacular service. This spot provides food at attractive prices. This cafe is rated on Google 4 by its clients. 
103,Harmony Mountain Tea,cafe|food|point_of_interest|establishment, Mountain Tea Company founded in 2000  produces-cultivates  packages and distributes-exports Greek Mountain Tea to Europe  Asia  America and Australia. We own and manage every phase of the production of our tea.Starting by placing seed into the soil at a predetermined depth  being also present at the seedling stage we harvest our plants  we package our tea  and we distribute it to our customers around the world. Managing the whole process from inception to delivery  Mountain Tea Company warranties the quality of our product.Although our headquarters are located in Athens  company’s warehouse and the mountain tea areas are located in Greece  on the Greek mountain called “Othrys” (County of Magnesia). Our mission is to bring the flavors of Greece all around the world! Aims and ObjectivesOur current short-term goal is to further promote our product to tea fans  potential customers and investors  which will support our long-term goal of making " Mountain Tea Company " a leading brand in the international tea market. In order to attract people from all over the world to taste our products  we have developed a well-organized online store contracting at the same time international wholesalers as well as tea shop chains.Company’s long-term objective is also to develop our own retail boutiques offering to our customers apart from a high quality product a unique shopping experience as well. Our PhilosophyMountain’s Tea Company mission is to bring our customers closer to what matters to them the most: “nature”  and familiarize consumers with a healthier way of life.Our interest is not only to help people develop healthy diet habits  but also to inspire awareness and gratitude for the environment -what we call “mother nature”- and further develop peoples’ environmental concerns and interests with respect to environmental health issues.Furthermore  company’s long term goal is to develop in-depth brand knowledge establishing our business identity and creating brand recognition among consumers and against the most renowned and thus respectful competitors in the bio-food industry.
104,BLUE MONKEY,restaurant|meal_delivery|meal_takeaway|cafe|food|point_of_interest|store|establishment, Our love for quality  delicious and healthy food  became a decision for action and so we created the Blue Monkey. For all of us who live and work in the city  to be able to enjoy special flavors. Every day we try to offer "The most sought after menu in the city for a light  nutritious & balanced meal". We choose the best ingredients  create original recipes and offer you variety and quality with home care. Very fresh fruits and vegetables that we receive every morning. Selected cold cuts and cheeses that are cut at the moment we prepare our products. Fresh meats and chickens from branded farms. Fresh juicy burgers  fermented exclusively for you. Our day starts very early to offer you the ideal start for your office with freshly ground fragrant coffee  freshly squeezed natural juices  homemade cakes  French croissants with homemade jam and hot jam. 
105,Artiston,bakery|cafe|food|point_of_interest|store|establishment, Bakery  confectionery that he has been creating since 1910. Tradition and innovation marry and create delicious delicacies. 
106,Φαν Γεύσεις,cafe|food|point_of_interest|store|establishment, Where tradition meets evolution  21  years the best coffee in town
107,Skordópistē,restaurant|cafe|food|point_of_interest|store|establishment 
108,Flisvos Cinema (Open Air),movie_theater|cafe|food|point_of_interest|establishment, The best summer cinema of the southern suburbs  with perfect technological means that create excellent projection conditions
109,Gregóris,cafe|restaurant|food|point_of_interest|store|establishment, Grigoris stores invite the consumer to an exciting experience of snacks and coffee! The wide variety of fresh  tasty and special proposals  are the most delicious break of the day! For anyone ... thirsty for even more our trained baristas  are willing to The friendly atmosphere  the smile  the cleanliness are points of excellence of a truly successful franchise chain that has conquered the hearts of hundreds of thousands of Greeks! 
111,Maiandros restaurant,cafe|restaurant|food|point_of_interest|establishment, From early in the morning we are waiting for you to drink your coffee accompanying it with one of our homemade-traditional sweets.Later you can choose between our delicious varieties our daily cooked meals and the wide range of main and side dishes made with homemade recipes and ingredients that are distinguished for their purity and quality.So in the heart of Athens and just behind the ISAP-METRO station in Monastiraki there is the "STATION" of taste enjoyment and quality.
112,Flocafe,cafe|food|point_of_interest|establishment, In 1994  the first Flocafé shop opened its doors to the Greek public  introducing and eventually establishing a new era of taste and quality. Over this 20-year successful course  Flocafé has been a leader in the Food service sector of mass catering with more than 90 shops. The company developed and evolved through continuous training and group work  this way building a long-lasting relationship with consumers. Our endless energy  our particular passion for coffee and the continuous search for optimized services and products has taken us to the next level - the FLOCAFE Espresso Room. The goal of this new concept is to upgrade the customer experience in a new ambience where everything – the people  the products  the aromas  the music – become one in order to form the perfect blend  every single moment.
113,sensei cafe,cafe|food|point_of_interest|establishment, This page is for the various events that will take place on weekends in the cafe. The events will be addressed mainly to the otaku community. This page is for the various events that will take place on weekends in the cafe. The events will be addressed mainly to the otaku community. In case anyone is interested they can close the store for their own use. The store on weekends will operate with anime air and will slowly have the appropriate decoration.
114,Point Cafe Athens,cafe|food|point_of_interest|establishment, Coffees from fine blends  drinks  handmade sweets  Greek wines  drinks  accompanied by original cold and hot dishes. 
115,Spiaggia,cafe|food|point_of_interest|establishment, Coffees of all kinds Freshly squeezed & Natural Juices Various Drinks Variety of sandwiches  puff pastry & sweetsCustom menu
116,BARBERA CAFFE Greece est 2006,cafe|food|point_of_interest|establishment, NaN
117,Στοά Cafe,cafe|restaurant|food|point_of_interest|store|establishment, coffee bar cafe bar
118,Kaissa Cafe,cafe|food|point_of_interest|store|establishment, Kaissa Cafe is a new colorful multipurpose space by the company Kaissa with good coffee  music  free internet  food and of course Kaissa table. We are waiting for you!
119,CENTRALE CAFE,cafe|restaurant|food|point_of_interest|establishment, All day cafe-resto-bar. Good quality coffee  brunch  fresh snacks and healthy lunch and dinner options. Centrale is located in the heart of Athens  giving you the opportunity to relax and enjoy the vivid city-center. You can grab your coffee to go  or you can sit in order to enjoy our homemade desserts  sandwiches  fresh pasta and vegetarian options. Try our signature cocktails or enjoy a glass of wine or a cold beer
120,Senso Cafe,cafe|restaurant|food|point_of_interest|establishment, Coffee  chocolate flavors  hot tea and a variety of drinks by the souds of soft music
121,Athinaikon,cafe|restaurant|food|point_of_interest|store|establishment, Your Athinaikon restaurant welcomes the two central parts of the city. The traditional tavern on the pedestrian street of Themistokleous 2 and the new taste and art haunt Mitropoleos 34 intend to impress their friends with the environment  wide range of dishes and their prices. The extensive menu  which stand out the traditional meat dishes  the recipes with the highest quality seafood and fresh fish  fresh salads  supplemented by a variety of appetizers and topped with sweet suggestions of the chef. The dishes are accompanied by a list of fine wines for all tastes. Greek and Mediterranean cuisine at its best.
122,Palazzo Cafe,cafe|meal_delivery|meal_takeaway|restaurant|food|point_of_interest|store|establishment, With over 20 years of experience in the field of catering  palazzo delivery offers you a unique variety of coffee and exquisite flavors in your area!
123,Leonida's cafe,cafe|food|point_of_interest|establishment, Start your day with Leonidas passion coffee Leonidas passion coffee Passion for good coffee Passion for a nice breakfast Leonidas passion coffee  passion for quality Leonidas and at your place  with a phone call Leonidas passion caffee  Makedonias & Themistokleous 62  in Kalamata This is how your day starts more beautifully
124,Cafe - Bar Mosquito,cafe|food|point_of_interest|establishment, Beautiful yard for the summer  warm space inside  with wonderful decor and atmosphere  draft BAP beer  Stratos and Angeliki unique forms  a hangout for good rock in Nea Smyrni and surrounding areas. The place to be!
125,GREGORY MIKROGEVMATA,cafe|restaurant|food|point_of_interest|establishment, Every day  I prepare the highest quality products  with the highest hygiene standards  applying preventive HACCP self-control measures that ensure food safety Today  on World Food Safety Day  I renew my commitment!
126,yassou cafe,cafe|food|point_of_interest|establishment,NaN
127,Moreno,cafe|food|point_of_interest|store|establishment, we decided to change the profile of our business and so we opened our doors to the public as a modern cafe. We have enriched our menu with sweets  drinks  beers  wines and delicious snacks  which we continue to offer you until today. At Moreno Cafe  we know how precious the moments you choose to drink a coffee or eat something outside the house are for you  so we emphasize every detail. We choose the best varieties of coffee and we carefully choose the raw materials with which we prepare everything you will find in our catalog.
128,Yard Bistrot and Bar Athens,restaurant|meal_takeaway|cafe|food|point_of_interest|store|establishment, Whether you are going to have lunch  dinner or just a drink  the Yard will always meet your needs. We cordially invite you to our restaurant  which is located at Makrygianni street  right in front of the Acropolis museum & Acropolis metro station. Relax at our patio or interior & enjoy delicious food with good wine. We mainly serve greek cuisine with a modern touch & add variety to our menu according to the season
